no2,pm2.5,o3,pm10,leto_od,mesec_od,dan_od,ura_od,min_od,leto_do,mesec_do,dan_do,ura_do,min_do
8.690483429731138,25.0,64.0,28.0,2023.0,2.0,16.0,6.0,0.0,2023.0,2.0,16.0,7.0,0.0
11.766992963251319,26.0,59.0,29.0,2023.0,2.0,16.0,7.0,0.0,2023.0,2.0,16.0,8.0,0.0
11.766992963251319,26.0,59.0,29.0,2023.0,2.0,16.0,7.0,0.0,2023.0,2.0,16.0,8.0,0.0
11.766992963251319,26.0,59.0,29.0,2023.0,2.0,16.0,7.0,0.0,2023.0,2.0,16.0,8.0,0.0
11.766992963251319,26.0,59.0,29.0,2023.0,2.0,16.0,7.0,0.0,2023.0,2.0,16.0,8.0,0.0
11.766992963251319,26.0,59.0,29.0,2023.0,2.0,16.0,7.0,0.0,2023.0,2.0,16.0,8.0,0.0
11.766992963251319,26.0,59.0,29.0,2023.0,2.0,16.0,7.0,0.0,2023.0,2.0,16.0,8.0,0.0
11.766992963251319,26.0,59.0,29.0,2023.0,2.0,16.0,7.0,0.0,2023.0,2.0,16.0,8.0,0.0
11.766992963251319,26.0,59.0,29.0,2023.0,2.0,16.0,7.0,0.0,2023.0,2.0,16.0,8.0,0.0
11.766992963251319,26.0,59.0,29.0,2023.0,2.0,16.0,7.0,0.0,2023.0,2.0,16.0,8.0,0.0
11.766992963251319,26.0,59.0,29.0,2023.0,2.0,16.0,7.0,0.0,2023.0,2.0,16.0,8.0,0.0
11.766992963251319,26.0,59.0,29.0,2023.0,2.0,16.0,7.0,0.0,2023.0,2.0,16.0,8.0,0.0
11.766992963251319,26.0,59.0,29.0,2023.0,2.0,16.0,7.0,0.0,2023.0,2.0,16.0,8.0,0.0
16.274254019994892,28.0,54.0,36.0,2023.0,2.0,16.0,8.0,0.0,2023.0,2.0,16.0,9.0,0.0
16.274254019994892,28.0,54.0,36.0,2023.0,2.0,16.0,8.0,0.0,2023.0,2.0,16.0,9.0,0.0
16.274254019994892,28.0,54.0,36.0,2023.0,2.0,16.0,8.0,0.0,2023.0,2.0,16.0,9.0,0.0
16.274254019994892,28.0,54.0,36.0,2023.0,2.0,16.0,8.0,0.0,2023.0,2.0,16.0,9.0,0.0
16.274254019994892,28.0,54.0,36.0,2023.0,2.0,16.0,8.0,0.0,2023.0,2.0,16.0,9.0,0.0
16.274254019994892,28.0,54.0,36.0,2023.0,2.0,16.0,8.0,0.0,2023.0,2.0,16.0,9.0,0.0
16.274254019994892,28.0,54.0,36.0,2023.0,2.0,16.0,8.0,0.0,2023.0,2.0,16.0,9.0,0.0
16.274254019994892,28.0,54.0,36.0,2023.0,2.0,16.0,8.0,0.0,2023.0,2.0,16.0,9.0,0.0
16.274254019994892,28.0,54.0,36.0,2023.0,2.0,16.0,8.0,0.0,2023.0,2.0,16.0,9.0,0.0
16.274254019994892,28.0,54.0,36.0,2023.0,2.0,16.0,8.0,0.0,2023.0,2.0,16.0,9.0,0.0
16.274254019994892,28.0,54.0,36.0,2023.0,2.0,16.0,8.0,0.0,2023.0,2.0,16.0,9.0,0.0
16.274254019994892,28.0,54.0,36.0,2023.0,2.0,16.0,8.0,0.0,2023.0,2.0,16.0,9.0,0.0
20.257426802815885,23.0,45.0,32.0,2023.0,2.0,16.0,9.0,0.0,2023.0,2.0,16.0,10.0,0.0
20.257426802815885,23.0,45.0,32.0,2023.0,2.0,16.0,9.0,0.0,2023.0,2.0,16.0,10.0,0.0
20.257426802815885,23.0,45.0,32.0,2023.0,2.0,16.0,9.0,0.0,2023.0,2.0,16.0,10.0,0.0
20.257426802815885,23.0,45.0,32.0,2023.0,2.0,16.0,9.0,0.0,2023.0,2.0,16.0,10.0,0.0
20.257426802815885,23.0,45.0,32.0,2023.0,2.0,16.0,9.0,0.0,2023.0,2.0,16.0,10.0,0.0
20.257426802815885,23.0,45.0,32.0,2023.0,2.0,16.0,9.0,0.0,2023.0,2.0,16.0,10.0,0.0
20.257426802815885,23.0,45.0,32.0,2023.0,2.0,16.0,9.0,0.0,2023.0,2.0,16.0,10.0,0.0
20.257426802815885,23.0,45.0,32.0,2023.0,2.0,16.0,9.0,0.0,2023.0,2.0,16.0,10.0,0.0
20.257426802815885,23.0,45.0,32.0,2023.0,2.0,16.0,9.0,0.0,2023.0,2.0,16.0,10.0,0.0
20.257426802815885,23.0,45.0,32.0,2023.0,2.0,16.0,9.0,0.0,2023.0,2.0,16.0,10.0,0.0
20.257426802815885,23.0,45.0,32.0,2023.0,2.0,16.0,9.0,0.0,2023.0,2.0,16.0,10.0,0.0
20.257426802815885,23.0,45.0,32.0,2023.0,2.0,16.0,9.0,0.0,2023.0,2.0,16.0,10.0,0.0
10.42149362879438,30.0,69.0,38.0,2023.0,2.0,16.0,10.0,0.0,2023.0,2.0,16.0,11.0,0.0
10.42149362879438,30.0,69.0,38.0,2023.0,2.0,16.0,10.0,0.0,2023.0,2.0,16.0,11.0,0.0
10.42149362879438,30.0,69.0,38.0,2023.0,2.0,16.0,10.0,0.0,2023.0,2.0,16.0,11.0,0.0
